Label,Core,Core type,Surface modification,Modification type,Shape,Primary size,DLS size in water (nm),Zeta potential in water (mV),PdI in water,DLS size in dispersion medium (nm),Zeta potential in dispersion medium (mV),PdI in dispersion medium,Dispersion medium,NM concentration,Incubation protein source,Protein source organism,Protein source concentration,Incubation culture,Incubation time (h),Incubation temperature (℃),Incubation flow condition,Incubation flow speed,Incubation setting,Separation method,Centrifugation speed,Centrifugation time (min),Centrifugation temperature (℃),Centrifugation repetitions,Proteomic depth,P18428,P20851,P0C0L5,Q15485,A0A075B6I0,P49747,P06312,P36955,P0DOX2,Q9UGM5,A0A0A0MT36,P01704,P0DOX5,P69905,P01876,P06727,P02763,P02765,A0A0B4J1Y9,A0A0A0MS15,B9A064,P02760,P01860,P00740,A0A075B6I9,P0DOX7,A0A0B4J1V0,P02743,P08697,P05090,P01780,P01042,A0A087WW87,P04432,A0M8Q6,Q15848,P01834,P00450,P07360,P19827,A0A0C4DH34,P01701,P35030,A0A0C4DH69,P00751,P04217,O95445,P0DP04,A0A075B6K4,P07339,P01624,Q12805,P27169,P00742,P06331,P02775,P03952,P02748,P01011,A0A0C4DH24,P01709,A0A0B4J1Y8,P13671,P02747,P05546,P11226,P01768,P04003,P62937,P01705,Q9Y6R7,Q15166,P01714,P01871,P55058,P01700,A0A0A0MRZ8,P01601,P04075,P07357,P06681,A0A075B6K5,P04070,P10643,P05155,P07477,Q9BXR6,Q9BWP8,A0A0C4DH36,O43866,P27918,P00739,O75636,Q96IY4,P17936,P01718,A0A0C4DH38,Q6EMK4,P33151,Q14520,P63104,P02647,P04211,P05156,A0A0B4J1V6,P23083,P07225,P01591,P07358,P0DOY3,A0A075B6R9,O75874,P01742,P00747
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_1,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0.0051908844796454,0.0191031739747042,7.551510464970547,0.0068804372574345,0.0482584865965616,0.0315315007119218,0.1604945569331425,0.146169398780856,0.2301918418077603,0.0103037796003576,0.0088013770380775,0.0035281939581199,15.713124218505843,0.023983537719004,1.0955597067686855,0.3204607073286777,0.0029840708984247,1.9296247247646887,0.0254894421847428,0.0058946453293263,4.88985834776033,0.2008974865088734,3.624978642503874,0.0143325514417148,0.0317421024174236,8.6844970336373,0.0056223035096364,0.5957161657224849,0.1826312468259738,1.165603622480138,0.0624273659660889,0.9378318427206048,0.1857093279692363,0.005157396721773,0.0003730625128741,0.0392061693298854,1.3958133220180329,0.3201144719928476,0.1518576403899071,0.3937871094198967,0.0534443800254883,0.0205869914289155,0.024078695180899,0.0032949704549499,2.110413994445337,0.2015655392924343,0.197667060098276,0.0470445246363781,0.0393537883602173,0.0009522530990191,0.2291497568460365,0.0060801068415248,0.2447765603909724,0.0077503829863367,0.1934249507162081,0.0033796747331105,0.311297482122728,0.1337006793540996,0.9482211382359668,0.0059425599320984,0.0068290057909482,0.0106948724881525,0.2100797817415146,0.5770567378562517,0.6412715190247507,0.009310329225191,0.0983971591746147,0.7603517987267606,0.000237965792355,0.0048421059004,0.0016025907907424,0.0009374871549974,0.1356923536295991,1.4626385473813015,0.0135716659745675,0.0460031206242098,0.1395468978208745,0.0006689334267321,0.0107118687139253,0.2760989330685263,0.0396807645167015,0.032947598076758,0.0019356911083232,0.1237015025903628,1.290915536377735,0.2004528230100291,0.0060028729754884,0.0027611103024055,0.0024502419560682,0.098989172591151,0.0516002731932331,0.1832185744153924,0.1071866961163185,0.0244301890402879,0.011302858126774,0.0466883777014632,0.0274606441245546,0.0014180771912773,0.0004798975398147,0.1283380640394089,0.0007732948270319,21.57155764782398,0.0047396619405567,0.404621859436112,0.0542769638062442,0.0753387679475283,0.0556302513126539,0.0242356833658814,0.2537691269135128,0.5545697888347627,0.0153525124211649,0.0002666885799197,0.0989855614950236,1.0664884914169257
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_2,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0.0050722685858644,0.015625019541256,7.121730723346525,0.0053999612880381,0.0453393669090116,0.0403800963996104,0.1486626117926817,0.151039185933687,0.2275371624101141,0.0155743455450103,0.0063840164540002,0.0029535822512713,15.962972571258971,0.0166858856453599,1.2273360025140725,0.2387645589810021,0.0014738376788864,1.941503431659128,0.0275002940476187,0.0061787540114044,3.848974259714555,0.1870071479151599,4.380312063306231,0.0157767706977827,0.0272737923412329,6.907815406574192,0.0061144724591442,0.5002166290542338,0.226525909327819,0.5982675274117573,0.0601780315757158,1.0806880986378902,0.1545861679203835,0.006970720701313,0.0001727711408026,0.0162660750843827,1.5667855739310872,0.3626023034639526,0.1376376687474644,0.7176341674168379,0.0560139863405961,0.0196634613950335,0.0225042289592905,0.0046380055583547,3.9255993983621575,0.2923930681090411,0.2144415136647006,0.055191107807954,0.0259492766688919,0.0008083444725325,0.2048182777707164,0.0051994359157486,0.2505421748314286,0.0070324420723893,0.2200728375384414,0.0035031358854215,0.36649380981584,0.1441849213632825,0.8419878515595516,0.0052292747470579,0.0097244927492874,0.0076839577573315,0.2702644085356916,0.4742415588414927,0.9330420705932324,0.0061574456209168,0.1144962772619724,1.0890956762124242,0.0002274751117414,0.0037310071430073,0.0014204454730115,0.0005587877486417,0.095099128188686,2.5618319707765664,0.0232462611565035,0.0401372716788921,0.1305206195523265,0.0008507006527362,0.0054163455190479,0.3488662784054006,0.060263047096242,0.0283349748461413,0.0026841994660644,0.2862840735967611,2.1251853618797565,0.1502449597293372,0.0081138871255606,0.0014329990188458,0.0023096241606553,0.0629141806147477,0.0521925369733721,0.1430534961601949,0.0751334636154242,0.0350966577898239,0.0104209313299818,0.0315522620357906,0.0267638986881479,0.0036457803733569,0.0019377845185069,0.186798409362638,0.0013840269666017,18.52031130669705,0.0040014805652266,0.3822804388060818,0.0526814407002576,0.0744762011289125,0.0803474049604488,0.0215315648267894,0.3286033432392793,0.4589405706948395,0.0148265950077524,0.000227746330855,0.090536135070639,1.8611700411908367
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_3,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0.0067688586593732,0.00858970658626,8.948704566132513,0.006412931572831,0.05978276228615,0.0371715684327143,0.160334232231676,0.1052860382443973,0.1940455770066433,0.0097414407577867,0.0079109769978215,0.0030321177241599,13.586120623003886,0.022510689310544,1.1559324146721657,0.2141092397079408,0.0025285644716533,1.474764086499722,0.0189378458824456,0.0054235553777762,4.3587391719725685,0.1217302391265606,3.314222313076482,0.0098646642539388,0.0311642581315649,8.02153242489484,0.0053855448941108,0.6016786849092056,0.2666942362536644,0.7091164463597041,0.0525699907218039,0.8121395568334115,0.1703279149312438,0.0062033377938663,9.872866170932052e-05,0.0218169263850725,1.2273212914530311,0.3524384237829607,0.1493078792179251,0.4383831991034939,0.0279687880038461,0.0230840969819188,0.0315793851986546,0.0044838372568998,4.937720312262641,0.2877492050229537,0.2258398596379283,0.0419089336115038,0.029188906878123,0.0004382890956583,0.2121609501807278,0.0052541606646569,0.2299596216278421,0.0062752480441432,0.1339113432966622,0.0024518906697324,0.3897649916380532,0.1625275260323176,0.8837131153869201,0.0079622253299452,0.0100207977324535,0.0081574153922778,0.2820988971411819,0.5809468662528029,0.7710881003483768,0.0068478625640503,0.0810874383516629,0.9303435434097964,0.0008141755014198,0.0044245531182041,0.0012758116059311,0.0004494977230473,0.0988456655223101,2.452008804162401,0.0254831132085564,0.0416825471178929,0.1407538287666432,0.0007385116285054,0.0058428259909161,0.2625879212978481,0.0690559969197551,0.0285212263840059,0.003105498808275,0.2972360531873468,2.4428073013737293,0.2017003183623396,0.0082267759507633,0.0015211775908203,0.0018241523377657,0.077026868245537,0.0302454981247012,0.1984273670088047,0.1005886470397954,0.0207633228906356,0.0163845326776024,0.0348029860082474,0.0212794602972256,0.0049223964539495,0.0035938973221366,0.1463740269851098,0.0010580073981039,18.41208404492928,0.0049572499798272,0.2982489570492343,0.0513406962242605,0.0535993362482085,0.0745755745243835,0.0239790091380944,0.3302503876296952,0.5347333478740365,0.0164375676425174,0.0001817037360702,0.0700862598365294,2.3502552519078983
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CPS1_1,Polystyrene,Polymer-based,None,N/A,Spherical,100.0 nm,89.2 nm,-52.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0.035492353307002,0.0070413959109482,3.255065893958952,0.0030046991396075,0.052648810444589,0.0316618073950481,0.1814910276294669,0.0848086395870815,0.2228090179262907,0.0043473943671597,0.0073922078843228,0.002398486629814,17.50071411164773,0.0553935444502754,1.626298854867063,0.311789006643846,0.0094960823742021,1.5370188872328523,0.0246547108791188,0.0079143612117434,3.2557466715634447,0.1511730380829841,2.903720854008541,0.0075382311553688,0.0401527497511797,6.772892512115634,0.0048232654788064,0.235693838914784,0.2630693697451671,0.5298171911907708,0.0768723444053099,0.6949108759998242,0.1975313362139097,0.0049672097902064,8.72195191550001e-05,0.0074017824478535,1.3160304636201678,0.4405166746998447,0.085324028987482,0.5201948236251719,0.0141773638509521,0.0262976358225523,0.1113225134952466,0.0025340136480239,2.1294095825629697,0.0796262222223423,0.2683126125855691,0.0475332026577194,0.0252582359595635,0.0002744788516042,0.3107216439998129,0.0066279119020963,0.3187314507819685,0.0047746569432995,0.1808743039925603,0.0125071140867957,0.4707654515699425,0.2270244138320589,0.8305819511529211,0.0054419511446262,0.009820556559804,0.007355742691393,0.1579421925947041,2.9839177970820763,0.5623074270339837,0.0024950293716092,0.0904290700191619,0.9203883650200576,0.0037082851152697,0.0035551250285358,0.0006074609517141,0.0004256056848521,0.0681184712595472,1.500013835427336,0.0112356363818247,0.0478015707264246,0.1880519680562159,0.0009586181802729,0.0030858341938761,0.1194239883242989,0.0570061396251106,0.0310781940707823,0.0021348503007761,0.1434618087682599,1.8184307511359885,0.7977026970791843,0.034370101141564,0.0005509168604404,0.0019657354454476,0.030275043295732,0.0212939505219985,0.1405609636364713,0.0292998702170742,0.0148921339072903,0.0885208344017714,0.0306896917111384,0.0266599181849411,0.0014236524783242,0.0004295652517906,0.1383300284293058,0.0006091515121746,26.07430758058543,0.0027853811918823,0.152986014703264,0.0620878332005516,0.0586436651200013,0.064439142578615,0.0208740316257693,0.2331016393304326,0.5939314296913841,0.0243101701760741,0.0005892856255148,0.0800731546971969,0.9763183979897212
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CPS1_2,Polystyrene,Polymer-based,None,N/A,Spherical,100.0 nm,114.4 nm,-35.2,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0.0331465608043655,0.0080630978751617,3.71329676013122,0.0041565063619403,0.0288527061435806,0.0100817797062208,0.1118834422606193,0.1069158206879909,0.3003473483425838,0.0101797728179197,0.0040634799690399,0.0012520849011613,20.41028841459831,0.0660527601727319,1.9538808831497736,0.302432206089389,0.0146248816788134,2.0472834318959423,0.0317885049344137,0.0073718137079989,1.6191626232656249,0.159479400088727,3.953591390852144,0.0107852457341861,0.0255934150449359,3.1412445384518275,0.0066735734519895,0.1515572570516701,0.3172986761170975,0.5088713662505808,0.090617336102662,0.8973118171275927,0.1438360887093649,0.0017087539179929,4.4509373419876553e-05,0.0043326813382198,0.7182660194330142,0.5038210419789655,0.0475511828155789,0.5968106704817053,0.0390985241899583,0.0141145650143302,0.1162151906222659,0.0014643028296599,2.216918455167397,0.1525626206027593,0.1547847773827406,0.0675169134858168,0.0181322920516208,0.0003475583891178,0.1880440215817336,0.0085740193982449,0.3532864301526713,0.0041586823912663,0.2273512413338614,0.012719230595437,0.5253206828816863,0.2022142464840388,0.943922986054645,0.0034573915328422,0.0061829806804901,0.0040358689262601,0.1191964879586261,1.9002542142471224,1.058929777121132,0.002124115520334,0.1142996868591814,0.944182125190466,0.0028167889277611,0.0024678884317811,0.0010513906682081,0.0006572254262829,0.0439966407601323,1.7565866691502154,0.0117777524934123,0.0339473643581271,0.1091110576061853,0.0007275546786223,0.003516657358228,0.13183179066175,0.0540163835545879,0.019163176594643,0.0015589328931513,0.1606572364687669,1.881684582344456,1.0424961085732116,0.0316436054036907,0.0002875774033412,0.0031381048623327,0.0409594079988691,0.029428103357987,0.1429014596529804,0.0327352621150514,0.0200732992051473,0.0415388393235119,0.0181815757755903,0.0345928495090758,0.0014913027374107,0.0002253319679708,0.1584276683438925,9.388195098872884e-05,26.44932220591312,0.0026092741080443,0.1842525426131079,0.0821269226073262,0.0760357385695508,0.068606931447367,0.0102976071832263,0.2679863213141027,0.3500775413580084,0.0178983179568295,0.0010410470272875,0.1062010987874423,1.084310538154724
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CPS1_3,Polystyrene,Polymer-based,None,N/A,Spherical,100.0 nm,146.2 nm,-50.0,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0.0318269750237561,0.0048861645511812,4.36698954000686,0.006532460985919,0.0444494656846157,0.0267543094007336,0.1670959188732701,0.0748617087284337,0.2210118607066245,0.0070426208099302,0.0070438296673082,0.0027427284430039,14.26017084856472,0.0777476450711711,1.659590770670802,0.27607989692788,0.010832934653324,1.1003354310941862,0.0276605964833506,0.0070203489454067,3.267132837069201,0.1779585857435139,2.992227062214873,0.0152896865824645,0.0348876256490069,5.978988300728822,0.0041302263106539,0.22349668166347,0.2294709992694475,0.594209803173597,0.0634109146883069,0.6196454692798186,0.1851037582409404,0.004536595841238,4.256473666242754e-05,0.0113256953569825,1.4038993797411414,0.4976517956361517,0.0676453632482534,0.4946259551166361,0.0305297446687885,0.0219801111802131,0.1417522705791947,0.0023445403662975,1.415897504164105,0.0973777435270216,0.1669824530779811,0.0444443920947241,0.0232171204907492,0.0001957863517902,0.2476952808535764,0.0095076839129017,0.2396711331963422,0.0016449976438735,0.1572399481895081,0.0190489510186805,0.4346581688851453,0.1920533554981276,0.846689382139315,0.0053698553853655,0.0104786749577091,0.0073930561829153,0.1018858099902246,2.157916087299585,0.5894268549235344,0.004236729568925,0.0812992181802552,0.7923631080273998,0.0020028151288413,0.0038925155984912,0.0003088133129357,0.0004160003408338,0.0666830319555877,1.1160780901207914,0.0072280875607006,0.0474470072484131,0.1488516816847716,0.0008913125552984,0.0037168521135986,0.1215484341036925,0.0772741659006274,0.0304371716432618,0.0020863954075872,0.1072372221326202,1.4247505359208037,0.9319292174364616,0.0291075798495666,0.0005554440512839,0.0023526820981191,0.0291587370430174,0.0144242470141946,0.152570457136887,0.0400781703425114,0.0159393468283288,0.0614445439440798,0.0352038304111878,0.0251071268718181,0.0009498666490298,0.000126672544948,0.1157585747209574,0.0002145053191361,32.48787007713003,0.0036963439255612,0.1595896797642531,0.0589446509603236,0.0539092312132723,0.0525031469484892,0.0174608924488378,0.2162597873274329,0.5125980876230626,0.022969314185889,0.0010493136537437,0.0740308987110985,0.6121709132393504
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; CEPS_avg,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0.0056773369644712,0.0144393006170556,7.873982217166538,0.0062311102492538,0.0511268705814162,0.0363610555119682,0.1564971424666805,0.1341648773037956,0.217258185384069,0.0118731886430576,0.0076987898883645,0.0031712979820121,15.087405534330118,0.0210600381653552,1.1596094620574262,0.2577781832995044,0.0023288244398236,1.7819641686916916,0.0239758607256793,0.0058323183321411,4.365857351996284,0.1698782999203408,3.773171067261501,0.0133246618546887,0.0300600504336127,7.871280773346532,0.005707440265519,0.5658704998111778,0.2252838035462754,0.8243291597852027,0.0583917975870425,0.943553109650734,0.1702078038444589,0.0061104853660464,0.0002148540981347,0.0257630558250524,1.396640092535498,0.3450517392504185,0.1462677325205783,0.5166014780042946,0.0458090500488367,0.0211115152004894,0.0260541031577606,0.0041389377906853,3.6579114131201207,0.2605692682820416,0.2126494809574691,0.048048187585578,0.0314973260189549,0.0007329622114234,0.2153763142224159,0.0055112342805022,0.2417594468402717,0.0070193569925828,0.1824697192479701,0.003111567012864,0.3558521150819406,0.1468043757970566,0.891307340933086,0.0063780198713074,0.0088580987696583,0.0088454147944976,0.2541476904234371,0.5440817046160287,0.7818005412339114,0.0074385459282568,0.0979936278827581,0.9265970358100342,0.000426538805978,0.004332555307604,0.0014329492342416,0.0006485908676395,0.1098790521232068,2.158826500849365,0.02076701319044,0.0426076473901211,0.136940434572969,0.0007527152425768,0.0073236795396798,0.2958510273453493,0.0563332716026543,0.0299346009540171,0.0025751297408221,0.2357405233959846,1.952969517508104,0.1841326977991409,0.0074478453605793,0.001905095668485,0.0021946727344229,0.0796434087010784,0.0446794355549432,0.1748998128196649,0.0943029328754761,0.0267633913578817,0.0127027743551111,0.037681209493221,0.025168003068653,0.0033287514029192,0.0020038600074563,0.1538368307511779,0.0010717764269459,19.50131797798387,0.0045661309788694,0.3617170854611704,0.0527663684098867,0.0678047696501478,0.0701844132177818,0.0232487527631187,0.3042076196636701,0.5160812136281254,0.0155388922857579,0.0002253795577786,0.0865359861269907,1.759304540468824
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; CPS1_avg,Polystyrene,Polymer-based,None,N/A,Spherical,100.0 nm,116.6 nm,-45.87,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0.0056773369644712,0.0144393006170556,7.873982217166538,0.0062311102492538,0.0511268705814162,0.0363610555119682,0.1564971424666805,0.1341648773037956,0.217258185384069,0.0118731886430576,0.0076987898883645,0.0031712979820121,15.087405534330118,0.0210600381653552,1.1596094620574262,0.2577781832995044,0.0023288244398236,1.7819641686916916,0.0239758607256793,0.0058323183321411,4.365857351996284,0.1698782999203408,3.773171067261501,0.0133246618546887,0.0300600504336127,7.871280773346532,0.005707440265519,0.5658704998111778,0.2252838035462754,0.8243291597852027,0.0583917975870425,0.943553109650734,0.1702078038444589,0.0061104853660464,0.0002148540981347,0.0257630558250524,1.396640092535498,0.3450517392504185,0.1462677325205783,0.5166014780042946,0.0458090500488367,0.0211115152004894,0.0260541031577606,0.0041389377906853,3.6579114131201207,0.2605692682820416,0.2126494809574691,0.048048187585578,0.0314973260189549,0.0007329622114234,0.2153763142224159,0.0055112342805022,0.2417594468402717,0.0070193569925828,0.1824697192479701,0.003111567012864,0.3558521150819406,0.1468043757970566,0.891307340933086,0.0063780198713074,0.0088580987696583,0.0088454147944976,0.2541476904234371,0.5440817046160287,0.7818005412339114,0.0074385459282568,0.0979936278827581,0.9265970358100342,0.000426538805978,0.004332555307604,0.0014329492342416,0.0006485908676395,0.1098790521232068,2.158826500849365,0.02076701319044,0.0426076473901211,0.136940434572969,0.0007527152425768,0.0073236795396798,0.2958510273453493,0.0563332716026543,0.0299346009540171,0.0025751297408221,0.2357405233959846,1.952969517508104,0.1841326977991409,0.0074478453605793,0.001905095668485,0.0021946727344229,0.0796434087010784,0.0446794355549432,0.1748998128196649,0.0943029328754761,0.0267633913578817,0.0127027743551111,0.037681209493221,0.025168003068653,0.0033287514029192,0.0020038600074563,0.1538368307511779,0.0010717764269459,19.50131797798387,0.0045661309788694,0.3617170854611704,0.0527663684098867,0.0678047696501478,0.0701844132177818,0.0232487527631187,0.3042076196636701,0.5160812136281254,0.0155388922857579,0.0002253795577786,0.0865359861269907,1.759304540468824
